Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
2021-02-04,1146,1596,2490,1039,1632,4684,17320,1976,3205,1568,6158,1481,1328,5197,475,745
2021-02-05,1778,1267,2483,941,2196,5790,17507,2236,3193,1503,5892,2789,1336,5631,549,1060
2021-02-06,1720,1710,2237,1341,1989,5357,20926,2558,3899,1172,5940,3317,1273,5225,455,831
2021-02-07,1705,1260,2558,1237,1820,4975,18748,2405,3858,1108,5427,2621,1366,4541,523,791
2021-02-08,1316,1757,5123,967,1861,3875,15810,2461,2692,1300,4776,1971,1471,4105,368,652
2021-02-09,911,1374,4978,1164,1381,1927,10355,1411,1627,1068,4682,2894,1057,3664,129,402
2021-02-10,830,472,1712,603,1040,2355,11576,937,893,659,2621,1507,640,1982,349,566
2021-02-11,1286,1132,2744,386,817,4448,21765,1477,2772,1290,6008,2393,1102,4100,350,672
2021-02-12,1139,1058,2615,977,2225,4575,18141,2149,3254,1359,7625,2535,1299,5202,446,663
2021-02-13,946,1084,2854,1160,1446,4455,18032,2496,3374,1759,5705,3024,1473,5653,450,809
2021-02-14,1127,1134,2273,1060,1935,5370,18147,2299,3578,1521,6576,2749,1396,4603,465,690
2021-02-15,1385,1449,5141,881,1838,3813,15884,2330,2804,1219,4798,2214,1606,4267,370,615
2021-02-16,738,667,4434,1275,1202,1802,10203,1061,1380,988,4289,2201,940,2330,182,501
2021-02-17,622,579,866,721,617,2323,9647,968,747,491,2317,2047,551,1764,290,364
2021-02-18,1394,1626,2922,411,1565,4637,16921,1617,2776,1452,7375,1697,1119,4576,402,706
2021-02-19,750,989,2373,1121,1985,5047,15939,2331,2991,1408,5208,2616,1492,4190,375,869
2021-02-20,1196,985,2212,1285,1839,5008,16280,2338,2963,1100,5592,3009,1440,5623,435,648
2021-02-21,1164,1382,2433,1532,1993,4846,14858,2367,2993,1183,5654,2274,1712,4230,443,964
2021-02-22,1397,1303,4781,1132,1950,3756,18707,1884,3262,1343,5625,2688,1663,4076,454,629
2021-02-23,769,785,3964,1261,1184,1976,10435,321,1129,729,3963,1638,909,1830,158,435
2021-02-24,768,299,978,775,822,2797,10528,1234,807,570,3924,2027,639,2123,211,382
2021-02-25,1395,1668,2868,352,1375,5434,16893,1962,3248,1288,5677,2121,1596,4173,391,585
2021-02-26,1092,1021,2432,1241,2035,5243,17562,2766,2960,1409,6710,2809,1742,4744,466,678
2021-02-27,1408,1201,2255,1325,1995,5974,18581,2643,3599,1292,5035,2626,1706,4428,386,846
2021-02-28,653,1183,2454,1346,1840,5984,18112,2377,2790,997,6018,2412,1520,4295,473,857
2021-03-01,1699,1328,5160,933,2158,4793,18459,2181,2849,1604,6193,2714,1409,3926,414,934
2021-03-02,839,1061,4662,1335,1286,2105,8522,1451,939,580,2869,2140,911,2515,229,173
2021-03-03,701,509,1185,522,836,2301,10861,1329,905,276,2830,1528,678,2078,276,336
2021-03-04,1110,1272,3018,383,1528,5480,19401,1829,2935,1443,8076,1895,1399,4568,488,852
2021-03-05,1193,1265,2412,1181,2486,5364,21945,2247,3202,1271,7522,2935,1820,4816,308,753
2021-03-06,1076,179,2619,1311,1692,5905,20434,3054,3568,1230,7761,2158,1984,5028,504,688
2021-03-07,1037,433,2819,1546,2658,5809,24306,2676,3201,1389,7386,3033,1333,4574,492,891
2021-03-08,1554,1136,5375,1489,1942,4264,20052,2604,3077,1023,9201,2770,1932,4419,367,802
2021-03-09,555,1178,3727,1282,1728,2668,10239,1197,971,801,4409,2114,1215,2776,201,554
2021-03-10,623,2609,1189,877,862,2443,13504,954,1028,634,4630,1891,855,2240,368,299
2021-03-11,1374,1639,3325,542,1968,6180,22239,2265,3263,1198,9330,1891,1569,4751,518,694
2021-03-12,883,1255,2591,999,2701,6502,21683,2851,3305,1821,9259,3010,2270,5252,470,834
2021-03-13,1272,1188,2283,1349,2874,6811,24563,2647,3265,1728,9269,3667,1917,5473,392,819
2021-03-14,898,1535,2111,1417,3404,6327,24491,2904,3483,1678,8182,3408,1925,5092,620,676
2021-03-15,1592,1771,5676,1114,2218,5967,24767,2565,3449,1480,7762,1984,2188,4994,467,974
2021-03-16,690,843,4690,1471,2250,2496,15227,1914,2320,1224,5165,3063,1145,3314,220,348
2021-03-17,869,328,954,939,1214,3046,17575,1256,1098,886,3698,2274,828,1868,306,326
2021-03-18,1708,1877,3392,302,2236,6065,26550,2406,3193,1549,9515,2948,2070,5201,401,782
2021-03-19,1342,1436,2585,1510,2383,6767,28093,2813,4618,2516,7567,2799,2669,4990,267,774
2021-03-20,1612,1280,2376,1467,2348,6848,28413,3296,4770,1931,8732,3459,1926,6249,718,850
2021-03-21,1303,1703,3254,1474,2746,7679,29699,3155,3575,1742,8306,2786,2625,4973,532,783
2021-03-22,1354,2138,5404,1404,2926,6360,28097,3589,3480,1358,8350,3312,2222,4695,457,734
2021-03-23,392,1593,3968,1576,1510,3380,22664,1634,2833,1366,5965,2698,1416,2990,215,415
2021-03-24,725,709,1757,582,872,4774,15340,1503,1083,912,5242,2398,790,2328,409,346
2021-03-25,1227,1449,3095,460,1888,7309,27867,2714,3299,1712,8999,2468,2279,4948,464,744
2021-03-26,1270,1408,2455,1196,2311,6363,32193,3568,4087,1346,9914,2930,1989,5090,543,645
2021-03-27,1350,1310,2519,1336,2301,7719,34614,3320,3687,1678,7419,3431,1984,5183,585,826
2021-03-28,1312,1399,3625,1205,2969,8302,28405,3092,4146,2216,9007,3500,2400,5499,608,759
2021-03-29,1404,1947,5428,1251,1726,5721,30531,3373,3374,1970,9110,2636,1692,4445,443,907
2021-03-30,430,1122,3269,1222,2366,2799,16479,2268,3249,1233,5491,2579,1008,2171,321,380
2021-03-31,552,1046,1042,645,654,4138,18770,1308,2176,1369,4837,2401,792,1360,294,443
2021-04-01,1432,1784,3318,309,1966,6938,25565,2789,3761,1370,9010,2537,1630,5638,496,578
2021-04-02,1135,2277,2825,924,2623,8095,24454,3539,4292,1906,9433,2708,2466,5350,587,929
2021-04-03,1005,1150,2127,1383,2236,7188,26569,3521,4219,1668,8676,2766,2277,4444,598,631
2021-04-04,1248,1588,3158,1300,2486,7176,24145,3328,4007,1644,8114,2461,2124,5195,367,754
2021-04-05,909,1511,3632,1330,1335,3107,16573,1836,2765,1125,5273,2752,1065,1856,277,475
2021-04-06,559,1235,3616,659,1040,2310,15277,1433,1171,569,3725,1777,700,1091,211,231
2021-04-07,896,760,1094,557,755,2191,13429,1255,1210,634,3443,1300,635,1592,350,570
2021-04-08,1606,1884,3583,627,2112,7171,25389,2882,3517,1805,8855,2513,1846,5119,500,795
2021-04-09,1661,1720,2708,1221,2802,7953,26056,3435,4469,1815,11000,3078,2831,5800,563,787
2021-04-10,1545,1312,2711,1699,2102,7577,24980,3596,4417,2187,7807,3870,2426,6083,520,1001
2021-04-11,1033,1431,2125,1303,2466,7405,25269,3547,5239,1632,8773,3434,1950,4849,685,1156
2021-04-12,1817,1636,5418,1585,2483,5409,24328,3217,4512,1465,10818,3265,1590,4040,537,1173
2021-04-13,595,1655,5326,1648,1938,3151,18065,2078,3362,974,4464,2607,932,2403,239,467
2021-04-14,518,919,1020,883,872,4325,14954,1379,1985,543,3964,1573,650,2132,374,614
2021-04-15,1697,1613,3969,555,2115,7037,25122,2346,4129,1626,9137,2625,1724,5635,539,952
2021-04-16,1538,1991,2309,1450,2639,7130,29048,3632,4653,1738,7566,3304,2630,6138,555,1054
2021-04-17,1665,1318,2529,1456,2136,7589,26521,3915,4903,2091,7250,3515,1870,4734,571,743
2021-04-18,1389,1970,3318,1402,2609,7969,25998,4188,4983,2153,7200,3151,1585,5360,614,1100
2021-04-19,1670,1840,5477,1263,2598,6592,24182,3260,4371,1625,8670,3403,2102,4280,520,986
2021-04-20,719,2024,4342,1585,1615,2889,15395,1846,3209,823,5579,2007,608,1785,549,530
2021-04-21,834,1460,1571,776,750,2942,14283,1498,1880,359,4092,1741,908,1978,363,693
2021-04-22,1835,1990,3085,575,1988,6518,23596,2462,3898,1702,7973,2725,1441,4924,543,1012
2021-04-23,1498,1514,2716,1383,2509,6620,23042,3119,4839,1478,8756,3078,2042,5203,605,1059
2021-04-24,1538,1323,2335,1507,2107,6690,21994,3251,3913,1182,7858,3090,2094,4696,533,1192
2021-04-25,1387,1524,2757,1536,2217,7000,22793,3249,4464,1553,8335,2799,1977,4896,687,758
2021-04-26,1738,2381,5507,1146,2553,6222,22754,2719,4409,1065,7529,3048,1319,5024,440,1175
2021-04-27,909,1887,4318,1691,1232,2510,10428,1761,2150,731,4507,2613,583,2016,444,910
2021-04-28,746,1214,1282,931,1170,2520,12592,1072,1612,450,2922,1316,831,1559,386,1000
2021-04-29,1811,2007,2576,630,2204,6654,23110,2565,4011,1173,5957,2710,1474,4893,522,942
2021-04-30,2042,1518,3824,1417,2669,5959,21815,2747,4198,1261,11732,3547,2054,4859,713,1447
2021-05-01,1768,1464,2053,1751,2614,5626,23244,3181,4243,1606,5831,3116,1549,4743,585,989
2021-05-02,1363,1929,2622,1490,2264,6750,23639,3147,4484,1318,7082,3079,1180,4826,630,922
2021-05-03,1473,1597,6111,994,2472,4663,17295,2910,3984,1957,7562,2568,1842,4051,279,979
2021-05-04,707,545,3890,1511,1662,1960,9583,914,1349,515,2146,1621,691,1680,443,633
2021-05-05,798,1119,1514,529,964,2536,11154,1048,788,458,4980,1083,618,1839,609,494
2021-05-06,1723,2088,3308,579,1941,5937,20864,2265,3448,1605,8757,1774,1810,4861,600,1256
2021-05-07,1226,1349,2486,1274,2466,6212,22615,2832,3637,1477,8234,3417,1845,4728,658,1014
2021-05-08,1552,1571,2475,1398,2343,5724,21783,2934,3761,1446,6706,2599,1718,5223,469,1293
2021-05-09,1568,1288,3332,1373,2727,6632,18440,3119,3613,1419,8187,3126,1692,3904,447,1177
2021-05-10,1943,1970,5484,712,2421,4920,23235,2670,3945,1428,8146,2584,1427,4186,510,769
2021-05-11,621,1492,4554,1242,1935,2633,13003,1413,1153,517,3158,1721,927,2156,321,553
2021-05-12,588,1010,1186,410,846,2400,10833,903,801,486,3623,1296,682,1893,404,1041
2021-05-13,1418,1662,3002,408,2291,5682,21308,2214,3500,1133,8256,2248,2041,4340,511,962
2021-05-14,1347,1466,2515,1423,2522,5477,23873,2868,3950,1405,7528,3167,1667,5248,609,853
2021-05-15,1488,1261,2228,1432,2664,5954,22834,3304,3945,1409,7708,3035,1766,4637,687,960
2021-05-16,1298,1647,3041,1456,2105,6190,24007,3002,3845,1571,7115,2922,1650,4428,499,1110
2021-05-17,1817,1954,5604,711,3461,4757,22619,2546,3689,1270,7166,3102,1771,4305,480,1000
2021-05-18,573,1285,4008,1554,1634,1588,8352,1463,1682,574,2627,1364,723,1818,455,528
2021-05-19,993,1287,1366,520,891,2265,13305,1360,1097,711,3710,1347,768,1999,438,413
2021-05-20,1708,2177,3804,613,2525,6269,23783,2425,3574,1567,8508,2348,2411,5453,646,910
2021-05-21,1211,1272,2762,1389,2955,6531,23935,3078,4081,1518,7436,3136,2003,5179,614,1058
2021-05-22,1611,1325,2159,1454,2726,5865,26010,3555,4946,1932,6760,2892,2097,5345,704,1020
2021-05-23,1358,1699,3392,1118,2755,5070,22173,3155,4689,1562,6689,3116,1846,5197,392,1128
2021-05-24,1189,1380,3914,1470,1879,3557,15558,1197,2904,473,4222,1981,717,2244,721,396
2021-05-25,710,1108,4497,714,1326,2036,10706,1078,1755,760,3912,913,712,2159,339,813
2021-05-26,930,945,1366,627,1131,2581,13092,1183,1159,567,3431,1154,804,2434,483,502
2021-05-27,1616,2216,3286,460,2479,6194,23173,2701,3860,1978,9675,2666,2403,5849,772,948
2021-05-28,1415,1359,2681,1708,2817,6658,25074,3390,4760,1725,8190,3519,2236,5147,800,1092
2021-05-29,1218,1405,2299,2022,2468,6341,27958,3823,4391,2075,8091,3444,1900,5534,724,887
2021-05-30,1315,1414,3216,2219,3129,6767,28695,3931,4307,2051,7900,3276,1990,5042,881,913
2021-05-31,1755,2047,5221,1942,3065,6197,23225,3244,4828,1692,7196,2906,1512,5507,637,775
2021-06-01,730,1220,4408,2244,1850,2559,16047,1842,2803,794,3521,1669,898,2057,510,496
2021-06-02,791,595,1684,1382,1267,2916,17583,1357,1280,655,4120,1071,968,2383,534,495
2021-06-03,1372,1932,3189,647,2433,6949,27823,2839,4220,2092,8451,2736,1987,5338,634,793
2021-06-04,1538,1472,2134,1476,2785,6783,26780,3587,4647,1678,7847,3164,1886,5133,742,839
2021-06-05,1358,1086,2374,2598,2627,7155,31246,3878,4521,1675,7293,2911,2364,5114,792,877
2021-06-06,1094,1345,3039,2630,3083,7716,27575,3927,4737,2033,7546,3618,1926,5450,744,999
2021-06-07,1922,1991,4594,828,2803,6219,29198,3258,5014,2101,7491,2776,1387,4547,582,694
2021-06-08,621,813,4657,1433,2276,4457,18376,2640,3196,708,4400,1496,912,2420,502,589
2021-06-09,634,1709,1381,274,1095,3811,16817,1642,1225,599,3771,1352,865,2072,606,593
2021-06-10,892,2127,3823,978,1646,6879,26893,2771,4063,1831,8538,2536,2310,5160,252,879
2021-06-11,1272,1343,2369,1825,2970,7031,28914,3451,4428,2278,7108,3767,2482,5539,688,984
2021-06-12,1228,1437,2143,1396,2668,6368,27680,3655,5220,2284,7748,3940,2066,4749,691,717
2021-06-13,1001,1496,2988,2146,3170,8006,32190,3307,4321,2252,8030,3251,1922,4822,738,935
2021-06-14,1579,2149,4671,1294,3285,5454,25519,2683,4271,1878,7125,3141,1198,4573,669,477
2021-06-15,906,1357,4086,1559,2580,4108,16700,2077,2164,977,4240,1542,1199,2024,457,259
2021-06-16,835,587,1100,1853,867,4137,14021,1034,1102,622,3697,914,788,2062,455,358
2021-06-17,1612,2169,3457,806,2986,7734,27636,2881,4344,1790,8295,3118,2329,5409,637,470
2021-06-18,1292,1290,2217,1453,2844,7946,27030,3686,4384,1747,8003,3434,2545,4782,708,938
2021-06-19,1282,1361,2879,1459,2641,6037,25012,3365,4753,2411,7625,3639,2301,4787,749,601
2021-06-20,1044,1379,2871,1236,2902,7165,21525,3751,4377,1839,7887,3135,1931,4552,763,813
2021-06-21,858,2163,5502,1485,3513,7064,26272,2712,4103,2194,6287,3259,1545,3777,669,1076
2021-06-22,639,1241,4244,1030,1721,3035,13746,1308,1731,1407,3208,1866,873,2067,252,245
2021-06-23,757,1229,913,622,1155,2004,9306,1100,1056,496,2650,769,554,1067,87,302
2021-06-24,848,1121,2496,752,988,3272,11907,884,1511,784,5721,1590,882,1997,381,293
2021-06-25,1344,1368,2505,1894,2701,6878,22067,3110,3816,1768,8380,3231,2618,5249,750,1006
2021-06-26,1210,1156,2290,1497,2605,6477,23450,2916,4529,1670,7254,3344,2500,5411,532,778
2021-06-27,1089,1468,2440,1378,2609,6886,22387,3277,4984,1854,7051,3245,2319,4804,722,893
2021-06-28,1669,2306,4993,1405,2963,5275,20678,2467,4690,1393,7959,3090,1523,4486,543,590
2021-06-29,824,1498,5152,1101,1221,2854,9160,1175,1822,801,3189,1374,970,2160,233,435
2021-06-30,660,917,907,1535,1420,2124,8238,745,893,493,2300,1033,484,1110,177,301
2021-07-01,689,1082,2279,729,1150,3386,11110,884,1407,743,5723,1360,928,1964,350,260
2021-07-02,1304,1285,2642,781,1695,6313,21711,2948,4078,1917,8275,2913,2565,5239,499,947
2021-07-03,975,1236,2250,2531,2775,6690,21085,2880,4322,1696,7459,3252,2195,5282,481,1038
2021-07-04,1042,1348,2712,1636,3695,6819,22425,3107,4094,1833,6883,3389,2197,4492,525,672
2021-07-05,1076,2886,2850,1468,1518,4253,23501,2078,3337,1326,7183,2777,1543,3709,500,609
2021-07-06,782,1003,4430,1026,1855,2501,11024,1058,1874,658,2885,1525,824,1794,119,499
2021-07-07,512,1072,1550,618,1199,2922,12065,959,1168,581,3183,1452,719,2160,490,394
2021-07-08,1196,1931,3529,1659,2651,6176,21191,2295,3504,1329,7691,2337,2219,4572,501,735
2021-07-09,1486,1459,2472,1916,2476,6001,20520,2654,3193,1388,7169,2996,1862,5101,449,780
2021-07-10,1033,1159,2241,988,2443,6159,19665,2562,3594,1494,7785,3553,1767,4447,562,871
2021-07-11,985,1449,2865,2520,2188,5998,19871,2652,3752,1703,6766,2890,1763,3952,686,829
2021-07-12,1571,1844,4485,1258,2579,4974,17925,2210,3131,1502,6349,2889,986,3888,443,420
2021-07-13,759,1359,3996,1649,1254,2271,8798,975,884,593,2834,1188,776,1937,225,325
2021-07-14,754,1215,1289,484,807,1862,9718,709,856,677,3634,1354,671,1678,222,439
2021-07-15,1513,1464,3103,2084,2336,6193,20794,2220,3487,1405,8152,2298,2182,4814,569,743
2021-07-16,1079,1205,2016,1732,2237,5627,19285,3039,3242,1603,6604,2988,1701,4149,581,577
2021-07-17,875,1304,1924,1529,2253,5694,16655,2222,3552,1457,6710,3075,1962,4234,596,1106
2021-07-18,1058,1357,2628,1110,2199,3827,14685,2253,3212,1256,7200,2830,1621,3945,287,670
2021-07-19,898,1434,3074,1889,1249,2107,9314,659,1113,758,3529,1483,760,1653,181,511
2021-07-20,501,630,4086,447,1055,2257,8300,688,852,720,2937,1227,702,1284,178,259
2021-07-21,722,972,1358,260,975,1930,9877,659,846,776,3453,1213,689,1726,242,402
2021-07-22,1109,1942,3439,2135,2495,6316,18634,2232,3140,1658,7893,2395,2271,4470,470,674
2021-07-23,1213,1123,2045,1656,2368,5303,17580,2454,3363,1411,6849,2911,1783,4218,466,641
2021-07-24,768,1244,2136,1658,2556,4996,17494,2594,3762,1377,6273,2734,1994,4264,498,906
2021-07-25,1373,1453,2324,2274,2412,4843,19709,2621,3202,1529,6363,2247,1938,3981,516,836
2021-07-26,1386,2010,4074,1453,2451,4263,15791,1858,3151,1470,5476,2551,1169,3753,355,555
2021-07-27,842,1260,3908,681,1113,2070,9174,689,892,749,2931,1233,791,2015,215,382
2021-07-28,830,964,1321,487,865,2484,10479,723,937,680,3802,1121,696,1948,297,421
2021-07-29,1469,2194,3326,2087,2439,5304,19831,2156,3395,1727,7289,2723,1773,4867,531,743
2021-07-30,1108,1365,1871,1597,2458,5451,19510,2574,2971,1739,6388,2705,1961,4502,439,689
2021-07-31,1179,1127,2067,1053,1447,5312,18810,2445,3217,1645,6011,2966,1983,4084,404,1102
2021-08-01,1057,1196,2960,1819,2903,4969,19356,2718,3340,1619,7325,2972,1792,4148,418,783
2021-08-02,1340,1969,4355,1433,2557,4093,18062,2328,2769,1621,6023,2774,1237,4096,365,974
2021-08-03,750,1259,4215,1122,1195,1858,8699,973,738,547,2721,1276,675,1489,223,343
2021-08-04,557,957,1309,329,825,2062,11649,702,893,506,3815,950,606,2027,255,444
2021-08-05,1279,1737,3050,2167,2446,5327,21049,2063,3126,1340,7761,2259,1341,4843,418,806
2021-08-06,1161,1795,2170,1272,2253,5129,18496,2555,3001,1440,6752,2543,1344,4325,391,737
2021-08-07,1360,1395,1848,1439,2393,4979,20219,1958,3283,1307,7713,2777,1579,5082,420,607
2021-08-08,1276,1512,2281,1462,2127,4708,18957,2602,2607,1351,6483,2823,1622,3821,597,446
2021-08-09,1506,2132,4075,1074,2168,4111,18166,2037,2669,1310,6316,2287,1087,3743,325,932
2021-08-10,613,1677,4144,903,1085,1833,9704,993,673,708,2553,940,655,1454,163,376
2021-08-11,688,1324,1241,287,757,1997,9900,710,800,512,3838,1094,624,1887,280,395
2021-08-12,1338,1870,2833,1866,2389,5326,20400,1987,2863,1450,6727,2184,1749,4756,591,846
2021-08-13,1215,1416,1987,1180,1827,5236,20782,2215,3513,1240,6572,2424,1380,3987,403,811
2021-08-14,1008,1158,1913,1375,2085,4815,19172,2467,3326,1669,5781,2345,1756,4718,466,729
2021-08-15,1077,1321,1962,1264,2313,5050,19104,2492,3425,1070,6047,2476,1291,4493,542,646
2021-08-16,1182,2133,4068,1188,2100,4325,17043,2028,2505,1334,5551,2599,996,3607,373,701
2021-08-17,834,1413,4201,666,1006,1658,10896,1062,749,777,3041,1027,632,1272,167,516
2021-08-18,763,448,1187,289,1013,2012,11273,1017,845,541,2725,953,571,1976,333,453
2021-08-19,1154,2509,3577,1788,2281,5652,20812,2151,2987,1516,7428,2222,1580,4786,541,632
2021-08-20,863,1161,1855,1669,2312,4932,19558,2569,3026,1507,6211,2472,1512,4122,435,824
2021-08-21,863,1239,1976,1280,2599,4727,18998,2241,3138,1201,6840,2684,1273,4204,484,675
2021-08-22,439,1407,2238,950,2199,4614,18049,2593,3473,1010,5817,2281,1522,4394,516,1216
2021-08-23,1266,2537,4140,1829,2365,3498,14508,2065,3015,896,4857,2174,1088,3345,384,790
2021-08-24,553,1020,3669,429,721,1286,10369,555,560,929,2506,1262,469,998,314,242
2021-08-25,1222,716,1645,1192,981,2425,13100,802,1504,612,2546,858,810,1757,392,566
2021-08-26,1411,2444,2903,1840,2084,3874,19089,2051,3390,1459,6604,1927,1416,4859,649,871
2021-08-27,1062,1138,1439,1403,1991,3734,20134,2274,3317,1665,6675,2123,1386,4356,543,692
2021-08-28,928,1197,1209,760,2191,4165,19231,2369,2818,1989,5223,1991,1238,3582,506,880
2021-08-29,211,1511,2346,1561,1991,3953,17456,2166,3292,1693,5109,2356,1247,3864,462,892
2021-08-30,1408,2972,2204,927,1988,2590,16709,1745,2073,1357,4409,1809,837,3078,518,278
2021-08-31,606,1194,1194,175,661,1178,9604,898,591,590,2085,995,461,1399,162,583
2021-09-01,1054,1525,1273,883,1036,2658,15069,973,1456,735,3433,1168,838,1621,245,581
2021-09-02,1140,1731,2514,1854,2035,3858,22109,1897,3498,1494,5736,2254,1341,4842,465,722
2021-09-03,903,1240,1363,1813,2276,3998,19284,2415,2551,1482,4679,1886,1255,4162,575,850
2021-09-04,631,1308,1381,998,1936,4196,19063,2081,2770,1394,7806,2101,1537,3650,443,675
2021-09-05,642,1706,2344,1410,2224,4077,17978,2273,3313,843,5311,2350,1427,3615,430,647
2021-09-06,1274,3109,1556,1200,1970,2744,16628,1905,2239,1030,4181,1989,945,3099,468,628
2021-09-07,758,1710,1591,380,768,1236,10323,995,814,419,2110,938,377,1263,188,315
2021-09-08,824,1038,1616,1240,931,2798,16521,683,1191,846,3252,1143,711,2672,297,393
2021-09-09,1370,2087,2359,1257,1903,3838,20445,1813,2716,1264,5774,1851,1461,3869,567,746
2021-09-10,1035,1272,1016,1227,1988,3432,19269,2430,3282,1204,5664,2084,1158,3852,490,730
2021-09-11,960,1237,1568,1014,2048,3636,18611,2128,2694,1146,5165,1928,1645,3976,462,636
2021-09-12,1032,1365,2620,732,1990,3433,17320,2496,3056,1433,4639,2607,1174,4154,441,669
2021-09-13,1022,2404,1607,890,1723,2536,17377,1392,2815,970,4573,1589,479,2559,428,1125
2021-09-14,692,1396,1634,177,594,998,11770,911,1006,252,2174,1096,431,1412,182,198
2021-09-15,806,1002,1479,1191,793,2229,12613,605,1395,631,2969,981,674,1798,307,426
2021-09-16,1394,1458,2085,1266,1919,3615,20788,1651,2753,1314,7594,2232,1202,4666,544,526
2021-09-17,1132,1348,1460,1075,2208,3520,19311,2086,3253,1135,5505,2237,1368,4404,522,680
2021-09-18,1470,1273,1666,988,2085,3691,17316,1984,3131,1044,5702,1531,1001,4008,463,856
2021-09-19,1259,1109,1638,500,1647,2014,11896,1440,1976,1276,3573,1490,614,2591,431,452
2021-09-20,618,1547,1323,263,421,809,8989,608,714,529,1882,801,278,846,108,205
2021-09-21,285,622,443,527,250,786,9003,313,684,559,1412,694,243,627,123,182
2021-09-22,1142,1046,1396,1274,626,2382,15739,708,1226,841,3907,1073,726,2114,304,572
2021-09-23,2079,1225,2730,2084,2135,4511,21258,2016,3907,1533,7061,2115,1432,5451,677,687
2021-09-24,1993,1366,1430,1395,2119,4527,24406,2806,3433,2051,8325,2991,1442,4806,647,954
2021-09-25,1709,1368,1834,1592,2674,4383,23117,2487,3239,1052,8335,2603,1628,4871,708,817
2021-09-26,1797,1949,2613,1824,2640,4957,24110,2930,4074,2041,7700,2773,1701,4663,594,638
2021-09-27,1462,3110,2369,1939,2430,3690,18865,2379,3094,1595,4704,2700,1085,2739,747,579
2021-09-28,1154,1518,1790,279,658,1277,12093,649,1392,668,3069,1141,454,1156,427,181
2021-09-29,1173,1812,1651,1577,778,3094,15871,796,1085,827,4596,1147,820,2201,272,539
2021-09-30,2092,2022,2247,1499,2369,4275,23035,2046,3717,1475,6655,2454,1224,3749,437,552
2021-10-01,1336,1654,1392,2185,2605,4096,21948,2478,3402,1732,7949,2640,1383,4920,675,682
2021-10-02,1822,1333,1878,1857,2265,4814,21264,2398,4023,1562,6426,2420,1342,4471,758,590
2021-10-03,1651,1490,2021,1707,1715,4541,21505,2029,3354,1370,5588,2392,1298,3272,456,614
2021-10-04,1078,2046,2991,1228,2017,2667,20529,1555,2690,1071,4056,1935,797,3089,400,492
2021-10-05,857,1765,1534,173,642,1154,13691,1062,627,798,2461,728,339,1338,305,273
2021-10-06,1274,1164,1463,1195,1614,2507,15488,601,1336,650,4073,794,748,1918,244,351
2021-10-07,1237,2450,2465,1819,1771,4036,22424,1074,2820,1534,6462,2164,1266,4163,445,651
2021-10-08,1010,1201,1272,1717,2438,4397,23866,1659,2589,1381,5078,2070,1216,3916,611,624
2021-10-09,1286,1063,1741,574,2070,4026,23410,2244,2747,1496,5988,1919,1246,4083,572,416
2021-10-10,1064,1503,3158,2195,1981,4034,20445,1476,2544,1514,4886,2109,1111,3284,518,402
2021-10-11,964,2170,2201,1274,2355,3127,20431,1754,2400,1333,3521,1676,587,2849,417,538
2021-10-12,616,1266,1818,251,497,1720,10811,1005,792,600,2368,866,392,1497,261,273
2021-10-13,668,1345,1267,338,382,1481,13052,517,673,683,2153,679,404,747,162,88
2021-10-14,894,1666,1765,1138,871,2823,17103,469,1476,1184,5360,1094,940,2260,280,449
2021-10-15,1342,1400,1509,1935,1849,4394,25447,2203,3142,1678,5584,2106,1367,4280,530,587
2021-10-16,866,1467,1930,1724,2180,4383,26155,1928,2797,1405,5577,1993,1357,4201,560,623
2021-10-17,1281,1512,2695,1526,2128,4509,24107,2197,3399,1928,5492,1993,1219,3833,312,474
2021-10-18,1077,2205,3026,1037,1460,2863,19555,1554,2503,1321,4870,1902,588,2963,437,429
2021-10-19,801,1694,1317,508,1016,1720,15263,860,1337,991,1661,710,554,1317,420,258
2021-10-20,989,1969,1531,1169,444,2428,18836,871,1062,1022,3989,717,785,2208,218,472
2021-10-21,1158,2011,2215,1664,1881,4075,23261,1572,3593,1291,5977,2119,1376,4150,467,543
2021-10-22,1241,1478,1892,1305,2134,4919,26385,2104,3016,1650,6842,2010,1485,3948,534,681
2021-10-23,1062,1039,2212,1322,1973,4089,26697,1885,4203,1848,5738,1879,1194,3833,503,451
2021-10-24,1238,1389,3033,1267,2371,4807,25885,1694,3463,1515,5823,2471,1435,4617,491,721
2021-10-25,1460,1944,2644,981,2018,3448,22710,2038,3241,1475,4122,2189,674,3163,452,602
2021-10-26,707,1966,2131,197,1313,1918,15252,703,1120,645,2750,789,402,1432,327,265
2021-10-27,1276,1846,1547,1414,679,2746,22446,806,1402,646,4285,1122,845,1817,252,486
2021-10-28,1154,2021,2350,2349,2224,5029,25598,862,3453,1507,6468,1998,1522,4181,369,836
2021-10-29,1135,1436,1923,1597,2521,4644,27274,1824,3354,1730,5627,1995,1612,4167,530,802
2021-10-30,1313,988,2183,1916,2203,5067,27197,1954,3813,1590,6066,2217,1207,3942,559,529
2021-10-31,1371,1503,2833,1400,2430,4992,25843,1870,3238,1609,5704,2513,1288,3409,558,527
2021-11-01,1126,2222,2580,1260,2161,3632,21048,1889,3289,1586,4134,2133,989,3320,387,502
