Region,Serie,Fecha,Casos
Metropolitana,Camas UCI ocupadas no COVID-19,2020-05-31,435.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-05-31,36.0
Maule,Camas UCI ocupadas no COVID-19,2020-05-31,13.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-05-31,6.0
Biobío,Camas UCI ocupadas no COVID-19,2020-05-31,77.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-05-31,27.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-05-31,9.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-05-31,36.0
Aysén,Camas UCI ocupadas no COVID-19,2020-05-31,2.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-05-31,17.0
Total,Camas UCI ocupadas no COVID-19,2020-05-31,817.0
Arica y Parinacota,Camas base (2019),2020-05-31,9.0
Tarapacá,Camas base (2019),2020-05-31,12.0
Antofagasta,Camas base (2019),2020-05-31,48.0
Atacama,Camas base (2019),2020-05-31,11.0
Coquimbo,Camas base (2019),2020-05-31,29.0
Valparaíso,Camas base (2019),2020-05-31,125.0
Metropolitana,Camas base (2019),2020-05-31,745.0
O’Higgins,Camas base (2019),2020-05-31,61.0
Maule,Camas base (2019),2020-05-31,45.0
Ñuble,Camas base (2019),2020-05-31,16.0
Biobío,Camas base (2019),2020-05-31,97.0
Araucanía,Camas base (2019),2020-05-31,49.0
Los Ríos,Camas base (2019),2020-05-31,13.0
Los Lagos,Camas base (2019),2020-05-31,49.0
Aysén,Camas base (2019),2020-05-31,8.0
Magallanes,Camas base (2019),2020-05-31,14.0
Total,Camas base (2019),2020-05-31,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-06-07,27.0
Tarapacá,Camas UCI habilitadas,2020-06-07,44.0
Antofagasta,Camas UCI habilitadas,2020-06-07,129.0
Atacama,Camas UCI habilitadas,2020-06-07,22.0
Coquimbo,Camas UCI habilitadas,2020-06-07,57.0
Valparaíso,Camas UCI habilitadas,2020-06-07,196.0
Metropolitana,Camas UCI habilitadas,2020-06-07,1742.0
O’Higgins,Camas UCI habilitadas,2020-06-07,95.0
Maule,Camas UCI habilitadas,2020-06-07,78.0
Ñuble,Camas UCI habilitadas,2020-06-07,30.0
Biobío,Camas UCI habilitadas,2020-06-07,188.0
Araucanía,Camas UCI habilitadas,2020-06-07,72.0
Los Ríos,Camas UCI habilitadas,2020-06-07,20.0
Los Lagos,Camas UCI habilitadas,2020-06-07,83.0
Aysén,Camas UCI habilitadas,2020-06-07,8.0
Magallanes,Camas UCI habilitadas,2020-06-07,32.0
Total,Camas UCI habilitadas,2020-06-07,2823.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-06-07,10.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-06-07,44.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-06-07,53.0
Atacama,Camas UCI ocupadas COVID-19,2020-06-07,2.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-06-07,11.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-06-07,91.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-06-07,1182.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-06-07,36.0
Maule,Camas UCI ocupadas COVID-19,2020-06-07,49.0
Ñuble,Camas UCI ocupadas COVID-19,2020-06-07,16.0
Biobío,Camas UCI ocupadas COVID-19,2020-06-07,46.0
Araucanía,Camas UCI ocupadas COVID-19,2020-06-07,16.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-06-07,2.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-06-07,18.0
Aysén,Camas UCI ocupadas COVID-19,2020-06-07,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-06-07,4.0
Total,Camas UCI ocupadas COVID-19,2020-06-07,1581.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-06-07,6.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-06-07,0.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-06-07,48.0
Atacama,Camas UCI ocupadas no COVID-19,2020-06-07,5.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-06-07,36.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-06-07,72.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-06-07,519.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-06-07,51.0
Maule,Camas UCI ocupadas no COVID-19,2020-06-07,10.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-06-07,3.0
Biobío,Camas UCI ocupadas no COVID-19,2020-06-07,79.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-06-07,29.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-06-07,9.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-06-07,39.0
Aysén,Camas UCI ocupadas no COVID-19,2020-06-07,1.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-06-07,9.0
Total,Camas UCI ocupadas no COVID-19,2020-06-07,916.0
Arica y Parinacota,Camas base (2019),2020-06-07,9.0
Tarapacá,Camas base (2019),2020-06-07,12.0
Antofagasta,Camas base (2019),2020-06-07,48.0
Atacama,Camas base (2019),2020-06-07,11.0
Coquimbo,Camas base (2019),2020-06-07,29.0
Valparaíso,Camas base (2019),2020-06-07,125.0
Metropolitana,Camas base (2019),2020-06-07,745.0
O’Higgins,Camas base (2019),2020-06-07,61.0
Maule,Camas base (2019),2020-06-07,45.0
Ñuble,Camas base (2019),2020-06-07,16.0
Biobío,Camas base (2019),2020-06-07,97.0
Araucanía,Camas base (2019),2020-06-07,49.0
Los Ríos,Camas base (2019),2020-06-07,13.0
Los Lagos,Camas base (2019),2020-06-07,49.0
Aysén,Camas base (2019),2020-06-07,8.0
Magallanes,Camas base (2019),2020-06-07,14.0
Total,Camas base (2019),2020-06-07,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-06-15,27.0
Tarapacá,Camas UCI habilitadas,2020-06-15,50.0
Antofagasta,Camas UCI habilitadas,2020-06-15,139.0
Atacama,Camas UCI habilitadas,2020-06-15,24.0
Coquimbo,Camas UCI habilitadas,2020-06-15,57.0
Valparaíso,Camas UCI habilitadas,2020-06-15,207.0
Metropolitana,Camas UCI habilitadas,2020-06-15,1903.0
O’Higgins,Camas UCI habilitadas,2020-06-15,104.0
Maule,Camas UCI habilitadas,2020-06-15,78.0
Ñuble,Camas UCI habilitadas,2020-06-15,30.0
Biobío,Camas UCI habilitadas,2020-06-15,183.0
Araucanía,Camas UCI habilitadas,2020-06-15,68.0
Los Ríos,Camas UCI habilitadas,2020-06-15,22.0
Los Lagos,Camas UCI habilitadas,2020-06-15,85.0
Aysén,Camas UCI habilitadas,2020-06-15,8.0
Magallanes,Camas UCI habilitadas,2020-06-15,32.0
Total,Camas UCI habilitadas,2020-06-15,3017.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-06-15,14.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-06-15,35.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-06-15,67.0
Atacama,Camas UCI ocupadas COVID-19,2020-06-15,7.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-06-15,16.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-06-15,102.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-06-15,1271.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-06-15,42.0
Maule,Camas UCI ocupadas COVID-19,2020-06-15,52.0
Ñuble,Camas UCI ocupadas COVID-19,2020-06-15,10.0
Biobío,Camas UCI ocupadas COVID-19,2020-06-15,66.0
Araucanía,Camas UCI ocupadas COVID-19,2020-06-15,18.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-06-15,2.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-06-15,20.0
Aysén,Camas UCI ocupadas COVID-19,2020-06-15,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-06-15,4.0
Total,Camas UCI ocupadas COVID-19,2020-06-15,1727.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-06-15,7.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-06-15,6.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-06-15,47.0
Atacama,Camas UCI ocupadas no COVID-19,2020-06-15,7.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-06-15,31.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-06-15,70.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-06-15,486.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-06-15,55.0
Maule,Camas UCI ocupadas no COVID-19,2020-06-15,22.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-06-15,8.0
Biobío,Camas UCI ocupadas no COVID-19,2020-06-15,69.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-06-15,31.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-06-15,7.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-06-15,43.0
Aysén,Camas UCI ocupadas no COVID-19,2020-06-15,1.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-06-15,9.0
Total,Camas UCI ocupadas no COVID-19,2020-06-15,899.0
Arica y Parinacota,Camas base (2019),2020-06-15,9.0
Tarapacá,Camas base (2019),2020-06-15,12.0
Antofagasta,Camas base (2019),2020-06-15,48.0
Atacama,Camas base (2019),2020-06-15,11.0
Coquimbo,Camas base (2019),2020-06-15,29.0
Valparaíso,Camas base (2019),2020-06-15,125.0
Metropolitana,Camas base (2019),2020-06-15,745.0
O’Higgins,Camas base (2019),2020-06-15,61.0
Maule,Camas base (2019),2020-06-15,45.0
Ñuble,Camas base (2019),2020-06-15,16.0
Biobío,Camas base (2019),2020-06-15,97.0
Araucanía,Camas base (2019),2020-06-15,49.0
Los Ríos,Camas base (2019),2020-06-15,13.0
Los Lagos,Camas base (2019),2020-06-15,49.0
Aysén,Camas base (2019),2020-06-15,8.0
Magallanes,Camas base (2019),2020-06-15,14.0
Total,Camas base (2019),2020-06-15,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-06-21,27.0
Tarapacá,Camas UCI habilitadas,2020-06-21,49.0
Antofagasta,Camas UCI habilitadas,2020-06-21,146.0
Atacama,Camas UCI habilitadas,2020-06-21,24.0
Coquimbo,Camas UCI habilitadas,2020-06-21,59.0
Valparaíso,Camas UCI habilitadas,2020-06-21,211.0
Metropolitana,Camas UCI habilitadas,2020-06-21,1861.0
O’Higgins,Camas UCI habilitadas,2020-06-21,121.0
Maule,Camas UCI habilitadas,2020-06-21,88.0
Ñuble,Camas UCI habilitadas,2020-06-21,32.0
Biobío,Camas UCI habilitadas,2020-06-21,184.0
Araucanía,Camas UCI habilitadas,2020-06-21,69.0
Los Ríos,Camas UCI habilitadas,2020-06-21,22.0
Los Lagos,Camas UCI habilitadas,2020-06-21,85.0
Aysén,Camas UCI habilitadas,2020-06-21,8.0
Magallanes,Camas UCI habilitadas,2020-06-21,32.0
Total,Camas UCI habilitadas,2020-06-21,3018.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-06-21,14.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-06-21,35.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-06-21,78.0
Atacama,Camas UCI ocupadas COVID-19,2020-06-21,7.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-06-21,22.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-06-21,123.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-06-21,1469.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-06-21,59.0
Maule,Camas UCI ocupadas COVID-19,2020-06-21,66.0
Ñuble,Camas UCI ocupadas COVID-19,2020-06-21,20.0
Biobío,Camas UCI ocupadas COVID-19,2020-06-21,66.0
Araucanía,Camas UCI ocupadas COVID-19,2020-06-21,16.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-06-21,6.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-06-21,29.0
Aysén,Camas UCI ocupadas COVID-19,2020-06-21,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-06-21,3.0
Total,Camas UCI ocupadas COVID-19,2020-06-21,2014.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-06-21,7.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-06-21,2.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-06-21,56.0
Atacama,Camas UCI ocupadas no COVID-19,2020-06-21,7.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-06-21,31.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-06-21,50.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-06-21,327.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-06-21,45.0
Maule,Camas UCI ocupadas no COVID-19,2020-06-21,10.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-06-21,3.0
Biobío,Camas UCI ocupadas no COVID-19,2020-06-21,73.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-06-21,33.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-06-21,4.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-06-21,35.0
Aysén,Camas UCI ocupadas no COVID-19,2020-06-21,4.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-06-21,15.0
Total,Camas UCI ocupadas no COVID-19,2020-06-21,702.0
Arica y Parinacota,Camas base (2019),2020-06-21,9.0
Tarapacá,Camas base (2019),2020-06-21,12.0
Antofagasta,Camas base (2019),2020-06-21,48.0
Atacama,Camas base (2019),2020-06-21,11.0
Coquimbo,Camas base (2019),2020-06-21,29.0
Valparaíso,Camas base (2019),2020-06-21,125.0
Metropolitana,Camas base (2019),2020-06-21,745.0
O’Higgins,Camas base (2019),2020-06-21,61.0
Maule,Camas base (2019),2020-06-21,45.0
Ñuble,Camas base (2019),2020-06-21,16.0
Biobío,Camas base (2019),2020-06-21,97.0
Araucanía,Camas base (2019),2020-06-21,49.0
Los Ríos,Camas base (2019),2020-06-21,13.0
Los Lagos,Camas base (2019),2020-06-21,49.0
Aysén,Camas base (2019),2020-06-21,8.0
Magallanes,Camas base (2019),2020-06-21,14.0
Total,Camas base (2019),2020-06-21,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-06-28,27.0
Tarapacá,Camas UCI habilitadas,2020-06-28,42.0
Antofagasta,Camas UCI habilitadas,2020-06-28,144.0
Atacama,Camas UCI habilitadas,2020-06-28,29.0
Coquimbo,Camas UCI habilitadas,2020-06-28,62.0
Valparaíso,Camas UCI habilitadas,2020-06-28,216.0
Metropolitana,Camas UCI habilitadas,2020-06-28,1885.0
O’Higgins,Camas UCI habilitadas,2020-06-28,125.0
Maule,Camas UCI habilitadas,2020-06-28,96.0
Ñuble,Camas UCI habilitadas,2020-06-28,52.0
Biobío,Camas UCI habilitadas,2020-06-28,186.0
Araucanía,Camas UCI habilitadas,2020-06-28,74.0
Los Ríos,Camas UCI habilitadas,2020-06-28,21.0
Los Lagos,Camas UCI habilitadas,2020-06-28,81.0
Aysén,Camas UCI habilitadas,2020-06-28,8.0
Magallanes,Camas UCI habilitadas,2020-06-28,32.0
Total,Camas UCI habilitadas,2020-06-28,3080.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-06-28,15.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-06-28,32.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-06-28,85.0
Atacama,Camas UCI ocupadas COVID-19,2020-06-28,11.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-06-28,33.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-06-28,134.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-06-28,1496.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-06-28,93.0
Maule,Camas UCI ocupadas COVID-19,2020-06-28,58.0
Ñuble,Camas UCI ocupadas COVID-19,2020-06-28,14.0
Biobío,Camas UCI ocupadas COVID-19,2020-06-28,65.0
Araucanía,Camas UCI ocupadas COVID-19,2020-06-28,17.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-06-28,8.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-06-28,25.0
Aysén,Camas UCI ocupadas COVID-19,2020-06-28,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-06-28,3.0
Total,Camas UCI ocupadas COVID-19,2020-06-28,2090.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-06-28,5.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-06-28,7.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-06-28,50.0
Atacama,Camas UCI ocupadas no COVID-19,2020-06-28,3.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-06-28,16.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-06-28,44.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-06-28,333.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-06-28,20.0
Maule,Camas UCI ocupadas no COVID-19,2020-06-28,19.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-06-28,24.0
Biobío,Camas UCI ocupadas no COVID-19,2020-06-28,69.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-06-28,39.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-06-28,6.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-06-28,34.0
Aysén,Camas UCI ocupadas no COVID-19,2020-06-28,4.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-06-28,15.0
Total,Camas UCI ocupadas no COVID-19,2020-06-28,688.0
Arica y Parinacota,Camas base (2019),2020-06-28,9.0
Tarapacá,Camas base (2019),2020-06-28,12.0
Antofagasta,Camas base (2019),2020-06-28,48.0
Atacama,Camas base (2019),2020-06-28,11.0
Coquimbo,Camas base (2019),2020-06-28,29.0
Valparaíso,Camas base (2019),2020-06-28,125.0
Metropolitana,Camas base (2019),2020-06-28,745.0
O’Higgins,Camas base (2019),2020-06-28,61.0
Maule,Camas base (2019),2020-06-28,45.0
Ñuble,Camas base (2019),2020-06-28,16.0
Biobío,Camas base (2019),2020-06-28,97.0
Araucanía,Camas base (2019),2020-06-28,49.0
Los Ríos,Camas base (2019),2020-06-28,13.0
Los Lagos,Camas base (2019),2020-06-28,49.0
Aysén,Camas base (2019),2020-06-28,8.0
Magallanes,Camas base (2019),2020-06-28,14.0
Total,Camas base (2019),2020-06-28,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-07-05,27.0
Tarapacá,Camas UCI habilitadas,2020-07-05,42.0
Antofagasta,Camas UCI habilitadas,2020-07-05,148.0
Atacama,Camas UCI habilitadas,2020-07-05,21.0
Coquimbo,Camas UCI habilitadas,2020-07-05,76.0
Valparaíso,Camas UCI habilitadas,2020-07-05,236.0
Metropolitana,Camas UCI habilitadas,2020-07-05,1928.0
O’Higgins,Camas UCI habilitadas,2020-07-05,133.0
Maule,Camas UCI habilitadas,2020-07-05,110.0
Ñuble,Camas UCI habilitadas,2020-07-05,52.0
Biobío,Camas UCI habilitadas,2020-07-05,190.0
Araucanía,Camas UCI habilitadas,2020-07-05,70.0
Los Ríos,Camas UCI habilitadas,2020-07-05,21.0
Los Lagos,Camas UCI habilitadas,2020-07-05,81.0
Aysén,Camas UCI habilitadas,2020-07-05,8.0
Magallanes,Camas UCI habilitadas,2020-07-05,32.0
Total,Camas UCI habilitadas,2020-07-05,3175.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-07-05,11.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-07-05,26.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-07-05,81.0
Atacama,Camas UCI ocupadas COVID-19,2020-07-05,10.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-07-05,44.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-07-05,145.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-07-05,1474.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-07-05,100.0
Maule,Camas UCI ocupadas COVID-19,2020-07-05,59.0
Ñuble,Camas UCI ocupadas COVID-19,2020-07-05,12.0
Biobío,Camas UCI ocupadas COVID-19,2020-07-05,66.0
Araucanía,Camas UCI ocupadas COVID-19,2020-07-05,14.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-07-05,9.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-07-05,15.0
Aysén,Camas UCI ocupadas COVID-19,2020-07-05,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-07-05,2.0
Total,Camas UCI ocupadas COVID-19,2020-07-05,2069.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-07-05,13.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-07-05,7.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-07-05,61.0
Atacama,Camas UCI ocupadas no COVID-19,2020-07-05,2.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-07-05,20.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-07-05,57.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-07-05,347.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-07-05,20.0
Maule,Camas UCI ocupadas no COVID-19,2020-07-05,25.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-07-05,26.0
Biobío,Camas UCI ocupadas no COVID-19,2020-07-05,83.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-07-05,38.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-07-05,1.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-07-05,41.0
Aysén,Camas UCI ocupadas no COVID-19,2020-07-05,3.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-07-05,12.0
Total,Camas UCI ocupadas no COVID-19,2020-07-05,756.0
Arica y Parinacota,Camas base (2019),2020-07-05,9.0
Tarapacá,Camas base (2019),2020-07-05,12.0
Antofagasta,Camas base (2019),2020-07-05,48.0
Atacama,Camas base (2019),2020-07-05,11.0
Coquimbo,Camas base (2019),2020-07-05,29.0
Valparaíso,Camas base (2019),2020-07-05,125.0
Metropolitana,Camas base (2019),2020-07-05,745.0
O’Higgins,Camas base (2019),2020-07-05,61.0
Maule,Camas base (2019),2020-07-05,45.0
Ñuble,Camas base (2019),2020-07-05,16.0
Biobío,Camas base (2019),2020-07-05,97.0
Araucanía,Camas base (2019),2020-07-05,49.0
Los Ríos,Camas base (2019),2020-07-05,13.0
Los Lagos,Camas base (2019),2020-07-05,49.0
Aysén,Camas base (2019),2020-07-05,8.0
Magallanes,Camas base (2019),2020-07-05,14.0
Total,Camas base (2019),2020-07-05,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-07-12,30.0
Tarapacá,Camas UCI habilitadas,2020-07-12,43.0
Antofagasta,Camas UCI habilitadas,2020-07-12,152.0
Atacama,Camas UCI habilitadas,2020-07-12,24.0
Coquimbo,Camas UCI habilitadas,2020-07-12,78.0
Valparaíso,Camas UCI habilitadas,2020-07-12,245.0
Metropolitana,Camas UCI habilitadas,2020-07-12,1898.0
O’Higgins,Camas UCI habilitadas,2020-07-12,135.0
Maule,Camas UCI habilitadas,2020-07-12,115.0
Ñuble,Camas UCI habilitadas,2020-07-12,52.0
Biobío,Camas UCI habilitadas,2020-07-12,199.0
Araucanía,Camas UCI habilitadas,2020-07-12,69.0
Los Ríos,Camas UCI habilitadas,2020-07-12,21.0
Los Lagos,Camas UCI habilitadas,2020-07-12,83.0
Aysén,Camas UCI habilitadas,2020-07-12,8.0
Magallanes,Camas UCI habilitadas,2020-07-12,32.0
Total,Camas UCI habilitadas,2020-07-12,3184.0
Arica y Parinacota,Camas UCI ocupadas COVID-19,2020-07-12,20.0
Tarapacá,Camas UCI ocupadas COVID-19,2020-07-12,27.0
Antofagasta,Camas UCI ocupadas COVID-19,2020-07-12,70.0
Atacama,Camas UCI ocupadas COVID-19,2020-07-12,7.0
Coquimbo,Camas UCI ocupadas COVID-19,2020-07-12,33.0
Valparaíso,Camas UCI ocupadas COVID-19,2020-07-12,134.0
Metropolitana,Camas UCI ocupadas COVID-19,2020-07-12,1378.0
O’Higgins,Camas UCI ocupadas COVID-19,2020-07-12,88.0
Maule,Camas UCI ocupadas COVID-19,2020-07-12,54.0
Ñuble,Camas UCI ocupadas COVID-19,2020-07-12,10.0
Biobío,Camas UCI ocupadas COVID-19,2020-07-12,74.0
Araucanía,Camas UCI ocupadas COVID-19,2020-07-12,6.0
Los Ríos,Camas UCI ocupadas COVID-19,2020-07-12,6.0
Los Lagos,Camas UCI ocupadas COVID-19,2020-07-12,21.0
Aysén,Camas UCI ocupadas COVID-19,2020-07-12,1.0
Magallanes,Camas UCI ocupadas COVID-19,2020-07-12,2.0
Total,Camas UCI ocupadas COVID-19,2020-07-12,1931.0
Arica y Parinacota,Camas UCI ocupadas no COVID-19,2020-07-12,7.0
Tarapacá,Camas UCI ocupadas no COVID-19,2020-07-12,4.0
Antofagasta,Camas UCI ocupadas no COVID-19,2020-07-12,65.0
Atacama,Camas UCI ocupadas no COVID-19,2020-07-12,5.0
Coquimbo,Camas UCI ocupadas no COVID-19,2020-07-12,29.0
Valparaíso,Camas UCI ocupadas no COVID-19,2020-07-12,71.0
Metropolitana,Camas UCI ocupadas no COVID-19,2020-07-12,365.0
O’Higgins,Camas UCI ocupadas no COVID-19,2020-07-12,21.0
Maule,Camas UCI ocupadas no COVID-19,2020-07-12,32.0
Ñuble,Camas UCI ocupadas no COVID-19,2020-07-12,24.0
Biobío,Camas UCI ocupadas no COVID-19,2020-07-12,66.0
Araucanía,Camas UCI ocupadas no COVID-19,2020-07-12,46.0
Los Ríos,Camas UCI ocupadas no COVID-19,2020-07-12,4.0
Los Lagos,Camas UCI ocupadas no COVID-19,2020-07-12,31.0
Aysén,Camas UCI ocupadas no COVID-19,2020-07-12,3.0
Magallanes,Camas UCI ocupadas no COVID-19,2020-07-12,14.0
Total,Camas UCI ocupadas no COVID-19,2020-07-12,787.0
Arica y Parinacota,Camas base (2019),2020-07-12,9.0
Tarapacá,Camas base (2019),2020-07-12,12.0
Antofagasta,Camas base (2019),2020-07-12,48.0
Atacama,Camas base (2019),2020-07-12,11.0
Coquimbo,Camas base (2019),2020-07-12,29.0
Valparaíso,Camas base (2019),2020-07-12,125.0
Metropolitana,Camas base (2019),2020-07-12,745.0
O’Higgins,Camas base (2019),2020-07-12,61.0
Maule,Camas base (2019),2020-07-12,45.0
Ñuble,Camas base (2019),2020-07-12,16.0
Biobío,Camas base (2019),2020-07-12,97.0
Araucanía,Camas base (2019),2020-07-12,49.0
Los Ríos,Camas base (2019),2020-07-12,13.0
Los Lagos,Camas base (2019),2020-07-12,49.0
Aysén,Camas base (2019),2020-07-12,8.0
Magallanes,Camas base (2019),2020-07-12,14.0
Total,Camas base (2019),2020-07-12,1331.0
Arica y Parinacota,Camas UCI habilitadas,2020-07-19,36.0
Tarapacá,Camas UCI habilitadas,2020-07-19,41.0
Antofagasta,Camas UCI habilitadas,2020-07-19,151.0
Atacama,Camas UCI habilitadas,2020-07-19,24.0
Coquimbo,Camas UCI habilitadas,2020-07-19,73.0
Valparaíso,Camas UCI habilitadas,2020-07-19,250.0
Metropolitana,Camas UCI habilitadas,2020-07-19,1845.0
O’Higgins,Camas UCI habilitadas,2020-07-19,142.0
Maule,Camas UCI habilitadas,2020-07-19,113.0
Ñuble,Camas UCI habilitadas,2020-07-19,52.0
Biobío,Camas UCI habilitadas,2020-07-19,198.0
Araucanía,Camas UCI habilitadas,2020-07-19,69.0
Los Ríos,Camas UCI habilitadas,2020-07-19,22.0
Los Lagos,Camas UCI habilitadas,2020-07-19,86.0
Aysén,Camas UCI habilitadas,2020-07-19,8.0
Magallanes,Camas UCI habilitadas,2020-07-19,32.0
Total,Camas UCI habilitadas,2020-07-19,3142.0
